Algorithm,MSE,PSNR,SSIM,TIME
"before-denoising",327.821859995524,34.6076152875676,0.797255066180911,0
"BM3D",415.464740753174,35.6841319937033,0.612560108497631,4.16520791028609
"KSVD",295.688153584798,40.9983870832938,0.961159652937425,86.2416895888533
"FOE",319.380482991536,36.418602608282,0.866211511898274,40.5058226564893
"EPLL",247.979885101318,32.9362832858011,0.931031364474709,468.764594143079
