Algorithm,MSE,PSNR,SSIM,TIME
"before-denoising",1491.1966082255,22.2846444078916,0.207735763058466,0
"BM3D",950.321062723796,26.2763936332579,0.417983540888301,4.18898132328652
"KSVD",1128.0263264974,30.3789195044482,0.763585352374549,92.2295871479957
"FOE",1311.46538289388,24.9372798143864,0.357334133832856,81.0968108422206
"EPLL",1074.34137598674,37.116438786106,0.904115404750526,464.787285134107
