Algorithm,MSE,PSNR,SSIM,TIME
"before-denoising",979.629456837972,22.0442679029011,0.235351196352861,0
"BM3D",571.065162658691,24.3448792209488,0.379343642966115,3.5005273945132
"KSVD",536.17457707723,27.2463815704092,0.597262832843375,454.951724453736
"FOE",752.984423319499,25.3415624867675,0.394477795860321,55.1229488458903
"EPLL",641.155853271484,29.5879913324854,0.778787938392557,467.917469469542
