Algorithm,MSE,PSNR,SSIM,TIME
"before-denoising",327.821859995524,34.6076152875676,0.79725506618091,0
"BM3D",345.393330891927,36.0151042496811,0.663189390580133,5.311810851
"KSVD",283.137064615885,40.4285130900415,0.959693222348319,46.142317395
"WNNM",659.370569864909,21.084666600349,0.959397342067863,279.194043497
"FOE",321.515669504801,35.9166758027967,0.849080603093351,279.194043497
"NCSR",319.400009155273,35.7942825693328,0.837651054590337,446.282815936
"EPLL",248.02946472168,32.9462252328203,0.931099520872256,352.148868302
