Algorithm,MSE,PSNR,SSIM,TIME
"before-denoising",72.0955301920573,29.6309185964883,0.541228430141455,0
"BM3D",14535.9190470378,23.5127102807589,0.333879994185337,6.71643860275193
"KSVD",11658.4498837789,21.3889751739668,0.405468901495512,149.530007800386
"FOE",64.0395177205404,30.1556171293288,0.57584042047329,101.890952894512
"EPLL",12147.9823087056,21.0931735082434,0.461478527405494,464.442950993365
