Algorithm,MSE,PSNR,SSIM,TIME
"before-denoising",237.0910059611,30.4927338511989,0.630192625691291,0
"BM3D",617.065574645996,33.8153135047713,0.805204988343054,6.972573906288
"KSVD",1226.66688537598,30.1590303181871,0.861838339289619,147.726908331254
"FOE",230.535182952881,30.9727679869532,0.657380888176586,101.730846420823
"EPLL",1364.83264923096,28.7911350434831,0.85331323500411,463.999356547113
